Name,Height,Weight,Nationality,Age,Stance,PrepTime,SlopeTime,AirTime,Rotations,Flips,StickLanding,LandingDistance,TotalTime,Gender,Score
Anna Gasser,65,115,Austrian,30,Regular,13.6,6.48,2.2,0,2,1,2,22.28,0,90
Anna Gasser,65,115,Austrian,30,Regular,26.25,6.5,2.45,1,2,1,2,35.2,0,86.75
Annika Morgan,68,150,German,20,Goofy,18.67,6.66,2.46,0,2,0,2,27.79,0,15.5
Annika Morgan,68,150,German,20,Goofy,23.88,7.38,2.17,0,2,1,2,33.43,0,73.5
Chris Corning,68,165,American,22,Goofy,32,8,3,2,3,1,4,43,1,92
Chris Corning,68,165,American,22,Goofy,23,7,2,3,0,0,3,32,1,35.5
Chris Corning,68,165,American,22,Goofy,33,5,2,5,0,1,4,40,1,64
Darcy Sharpe,72,165,Canadian,26,Regular,61,6,2,3,0,0,3,69,1,20
Darcy Sharpe,72,165,Canadian,26,Regular,23,6,5,2,2,1,3,34,1,82
Darcy Sharpe,72,165,Canadian,26,Regular,29,6,2,0,3,0,1,37,1,5.75
Ge Rong,60,100,Chinese,19,Regular,22.49,7.2,1.98,0,2,0,2,31.67,0,29
Ge Rong,60,100,Chinese,19,Regular,29.62,6.63,2.05,0,2,1,2,38.3,0,85.75
Hailey Langland,62,110,American,21,Regular,36.97,7.2,1.6,4,0,0,1,45.77,0,25.25
Hailey Langland,62,110,American,21,Regular,25.8,6.65,2.4,3,0,0,2,34.85,0,31
Jasmine Baird,68,154,Canadian,22,Regular,33.01,6.69,2.08,0,2,1,2,41.78,0,68.75
Jasmine Baird,68,154,Canadian,22,Regular,27.28,6.95,2.03,1.5,0,1,2,36.26,0,48.75
Kokomo Murase,60,93,Japanese,17,Regular,33,6.35,2.22,2,0,1,2,41.57,0,80
Kokomo Murase,60,93,Japanese,17,Regular,22.95,6.76,2.27,3,0,1,2,31.98,0,91.5
Kunitake Hiroaki,64,119,Japanese,20,Goofy,29,6,2,5,0,1,2,37,1,82.25
